name,plddt,loss,aa_a2m_num,aa_a3m_num,struct_num
A0A140D2T1_ZIKV_Sourisseau_2019,65.00487161171473,1.1067392826080322,16501,1464,4223
A0A192B1T2_9HIV1_Haddox_2018,74.75617399023524,0.7541300058364868,74854,11017,657
A0A1I9GEU1_NEIME_Kennouche_2019,93.38067669172932,0.4926459789276123,5553,23475,2260
A0A247D711_LISMN_Stadelmann_2021,91.59233893557423,0.7863499522209167,57,38,3261
A0A2Z5U3Z0_9INFA_Doud_2016,86.67465227272727,0.8727229237556458,57581,1238,3248
A0A2Z5U3Z0_9INFA_Wu_2014,86.90170890334154,0.8727229237556458,57581,1238,3233
A4D664_9INFA_Soh_2019,91.39040341796074,0.780388593673706,26683,168,650
A4GRB6_PSEAI_Chen_2020,90.74477112676055,0.6644652485847473,108496,3487,4282
A4_HUMAN_Seuma_2022,67.49939080459771,0.5848473906517029,5272,15040,575
AACC1_PSEAI_Dandage_2018,89.75672035139092,0.7307319045066833,539868,4128,5679
ACE2_HUMAN_Chan_2020,90.3445121202823,0.725662350654602,11106,8691,2273
ADRB2_HUMAN_Jones_2020,77.4885006119951,0.7459978461265564,204722,11678,5311
AICDA_HUMAN_Gajula_2014_3cycles,89.19467179183916,0.6101241111755371,18148,2605,4742
AMFR_HUMAN_Tsuboyama_2023_4G3O,97.15911917098444,1.0443506240844727,17787,2480,1174
AMIE_PSEAE_Wrenbeck_2017,97.91922848664689,0.7597096562385559,140703,2425,3454
ANCSZ_Hobbs_2022,82.40625474146536,0.7039426565170288,7424,17301,6273
ARGR_ECOLI_Tsuboyama_2023_1AOY,92.87123411978222,0.8115498423576355,21443,6836,4508
B2L11_HUMAN_Dutta_2010_binding-Mcl-1,60.2062958199357,0.747610330581665,660,628,0
BBC1_YEAST_Tsuboyama_2023_1TG0,97.50011472275337,0.913441002368927,604824,7961,5700
BCHB_CHLTE_Tsuboyama_2023_2KRU,92.13533175355452,1.0136433839797974,12079,6263,3671
BLAT_ECOLX_Deng_2012,94.17457259158752,0.6864135265350342,209644,7774,4752
BLAT_ECOLX_Firnberg_2014,94.11493579635054,0.6864135265350342,209644,7774,4376
BLAT_ECOLX_Jacquier_2013,94.17457259158752,0.6864135265350342,209644,7774,4752
BLAT_ECOLX_Stiffler_2015,94.17457259158752,0.6864135265350342,209644,7774,4752
BRCA1_HUMAN_Findlay_2018,39.56951405594887,0.715379536151886,1008,14109,1540
BRCA2_HUMAN_Erwood_2022_HEK293T,39.212485264133456,0.7246501445770264,933,2297,1131
C6KNH7_9INFA_Lee_2018,85.76086461126006,0.9732233881950378,57453,1232,3239
CALM1_HUMAN_Weile_2017,83.281031543052,0.4484024941921234,177633,21326,5839
CAPSD_AAV2S_Sinai_2021,86.09286651700916,0.6618133187294006,604,1553,309
CAR11_HUMAN_Meitlis_2020_gof,71.5477626918536,0.6886483430862427,1352,3845,111
CAR11_HUMAN_Meitlis_2020_lof,71.50684823441021,0.6886483430862427,1352,3845,115
CAS9_STRP1_Spencer_2017_positive,88.16606204509142,0.6252542734146118,5349,5256,2547
CASP3_HUMAN_Roychowdhury_2020,89.39727250608273,0.8487846255302429,86012,8799,3611
CASP7_HUMAN_Roychowdhury_2020,83.4006868867083,0.9486593008041382,71075,8485,4013
CATR_CHLRE_Tsuboyama_2023_2AMI,94.442,0.7059294581413269,551057,16678,5436
CBPA2_HUMAN_Tsuboyama_2023_1O6X,93.4551923076923,1.0238162279129028,12711,3687,6552
CBS_HUMAN_Sun_2020,91.54251705481065,0.6452029943466187,19563,26534,3675
CBX4_HUMAN_Tsuboyama_2023_2K28,94.9255403868032,0.8357476592063904,108263,13766,3296
CCDB_ECOLI_Adkar_2012,96.0005243902439,0.7653415203094482,43564,2864,2700
CCDB_ECOLI_Tripathi_2016,96.0005243902439,0.7653415203094482,43564,2864,2700
CCR5_HUMAN_Gill_2023,82.57739069604757,0.782898485660553,632074,8429,5760
CD19_HUMAN_Klesmith_2019_FMC_singles,62.21854520102255,0.6740509867668152,1183,328,835
CP2C9_HUMAN_Amorosi_2021_abundance,93.49291378869276,0.7313961386680603,264279,15874,5418
CP2C9_HUMAN_Amorosi_2021_activity,93.49291378869276,0.7313961386680603,264279,15874,5418
CSN4_MOUSE_Tsuboyama_2023_1UFM,93.99976320582878,0.9280121326446533,39217,5138,7276
CUE1_YEAST_Tsuboyama_2023_2MYX,97.40344527363185,1.0902180671691895,3213,1465,1588
D7PM05_CLYGR_Somermeyer_2022,97.21899462365592,1.5252975225448608,694,541,3071
DLG4_HUMAN_Faure_2021,77.54855984487925,0.573329746723175,25338,22777,3524
DLG4_RAT_McLaughlin_2012,78.18001691143748,0.5928201675415039,24705,22423,3341
DN7A_SACS2_Tsuboyama_2023_1JIC,89.98379310344826,0.9291448593139648,42895,50,4117
DNJA1_HUMAN_Tsuboyama_2023_2LO1,90.28206766917292,0.7499571442604065,280284,21483,3960
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,92.28783044667274,1.0027114152908325,705447,9340,6513
DYR_ECOLI_Nguyen_2023,96.42821625887925,1.0227941274642944,188828,15262,4239
DYR_ECOLI_Thompson_2019,96.42821625887925,1.0227941274642944,188828,15262,4239
ENVZ_ECOLI_Ghose_2023,92.26151199165798,0.8364159464836121,1879223,15308,2757
ENV_HV1B9_DuenasDecamp_2016,74.14425051184557,0.6966401934623718,87271,10433,631
ENV_HV1BR_Haddox_2016,74.2433854242734,0.7269096374511719,74844,11044,697
EPHB2_HUMAN_Tsuboyama_2023_1F0M,97.29656429942418,0.90626060962677,212234,8601,2866
ERBB2_HUMAN_Elazar_2016,73.91050621118012,0.6208798885345459,8311,16025,4319
ESTA_BACSU_Nutschel_2020,91.219642085776,0.5126216411590576,234310,6978,6394
F7YBW7_MESOW_Ding_2023,93.71077852348994,0.796097457408905,38613,7633,2108
F7YBW8_MESOW_Aakre_2015,93.71077852348994,0.796097457408905,38613,7633,2108
FECA_ECOLI_Tsuboyama_2023_2D1U,93.5969850187266,0.9313744306564331,74248,8086,3345
FKBP3_HUMAN_Tsuboyama_2023_2KFV,91.189341991342,1.0322034358978271,3216,667,307
GAL4_YEAST_Kitzman_2015,67.3089248389406,0.6619658470153809,16159,9264,1525
GCN4_YEAST_Staller_2018,63.29288050885961,0.5807865262031555,350,2906,15
GDIA_HUMAN_Silverstein_2021,94.42534667418263,0.7095667719841003,5196,10461,6600
GFP_AEQVI_Sarkisyan_2016,96.8525951374207,1.5802198648452759,396,731,2608
GLPA_HUMAN_Elazar_2016,58.234350479511775,0.9022700786590576,273,264,40
GRB2_HUMAN_Faure_2021,88.54060258249642,0.6212162375450134,33228,13873,5928
HCP_LAMBD_Tsuboyama_2023_2L6Q,86.24715294117647,0.9725749492645264,2128,1179,4717
HECD1_HUMAN_Tsuboyama_2023_3DKM,93.70814159292036,0.8443359732627869,18660,4512,6040
HEM3_HUMAN_Loggerenberg_2023,92.07548959827832,0.7970387935638428,59544,21016,5507
HIS7_YEAST_Pokusaeva_2019,95.3324932815766,0.7232303023338318,40154,13092,2811
HMDH_HUMAN_Jiang_2019,76.24634517397001,0.8223370909690857,3153,9960,1441
HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,85.21221563154222,0.6222551465034485,48695,23217,3606
HSP82_YEAST_Flynn_2019,85.21221563154222,0.6222551465034485,48695,23217,3606
HSP82_YEAST_Mishra_2016,85.45571391281649,0.6222551465034485,48695,23217,3542
HXK4_HUMAN_Gersing_2022_activity,94.3723222683264,0.7858983278274536,24177,8654,3657
HXK4_HUMAN_Gersing_2023_abundance,94.3723222683264,0.7858983278274536,24177,8654,3657
I6TAH8_I68A0_Doud_2015,87.60024327784892,1.096246600151062,15390,138,270
IF1_ECOLI_Kelsic_2016,85.26664930555556,0.9585412740707397,361806,11896,6272
ILF3_HUMAN_Tsuboyama_2023_2L33,94.5869439421338,0.804639458656311,145438,11011,5732
ISDH_STAAW_Tsuboyama_2023_2LHR,91.21082978723403,1.0068004131317139,115488,68,1221
KCNE1_HUMAN_Muhammad_2023_expression,68.72320077594568,0.8657260537147522,2118,1271,47
KCNE1_HUMAN_Muhammad_2023_function,68.85107976653697,0.8657260537147522,2118,1271,33
KCNH2_HUMAN_Kozek_2020,62.768290161263145,0.6179183721542358,13907,14292,2596
KCNJ2_MOUSE_Coyote-Maestas_2022_function,81.10474536355606,0.712157130241394,20953,6739,2630
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,81.01378569325874,0.712157130241394,20953,6739,2630
KKA2_KLEPN_Melnikov_2014,94.67362389813908,0.5737839341163635,234760,4744,7323
LGK_LIPST_Klesmith_2015,97.48916077738517,0.8009229302406311,31069,10504,4953
LYAM1_HUMAN_Elazar_2016,84.81097899728998,0.7006344199180603,3974,13548,4058
MAFG_MOUSE_Tsuboyama_2023_1K1V,94.04098265895954,1.1615760326385498,6178,2019,469
MBD11_ARATH_Tsuboyama_2023_6ACV,84.1870077220077,0.8965470194816589,26035,3471,3472
MET_HUMAN_Estevam_2023,90.22084679179396,0.5450461506843567,185885,14313,7773
MK01_HUMAN_Brenan_2016,91.40320178448869,0.6282603740692139,124248,18387,7722
MLAC_ECOLI_MacRae_2023,91.75203319502076,0.5708180665969849,22874,4743,3026
MSH2_HUMAN_Jia_2020,88.13460503059143,0.7250691652297974,61226,13710,4325
MTH3_HAEAE_RockahShmuel_2015,93.84050131430718,0.8051315546035767,82734,14489,7020
MTHR_HUMAN_Weile_2021,88.42661281125262,0.6634875535964966,4783,12323,4117
MYO3_YEAST_Tsuboyama_2023_2BTT,96.40253699788585,0.9893792867660522,442941,8326,5939
NCAP_I34A1_Doud_2015,86.77772946859902,1.1452093124389648,15390,138,470
NKX31_HUMAN_Tsuboyama_2023_2L9R,92.23558270676692,0.8928573131561279,319273,14828,3825
NPC1_HUMAN_Erwood_2022_HEK293T,86.5064302672122,0.7358019948005676,6333,8292,3218
NPC1_HUMAN_Erwood_2022_RPE1,86.5064302672122,0.7358019948005676,6333,8292,3216
NRAM_I33A0_Jiang_2016,92.5601010248902,0.663142740726471,47174,829,3168
NUD15_HUMAN_Suiter_2020,95.73851319875776,0.7270221710205078,153922,8599,4246
NUSA_ECOLI_Tsuboyama_2023_1WCL,95.84874306839188,0.9230068325996399,205612,5214,3667
NUSG_MYCTU_Tsuboyama_2023_2MI6,91.84739856801907,0.9396869540214539,102004,14444,6586
OBSCN_HUMAN_Tsuboyama_2023_1V1C,94.2538403041825,0.9412218332290649,718751,4508,4793
ODP2_GEOSE_Tsuboyama_2023_1W4G,90.23325874125874,1.0481525659561157,163835,15569,2370
OPSD_HUMAN_Wan_2019,88.18140978816655,0.783867359161377,342311,9245,5709
OTC_HUMAN_Lo_2023,91.23560997171148,0.887604296207428,135607,14991,4605
OTU7A_HUMAN_Tsuboyama_2023_2L2D,91.60978193146418,1.3377870321273804,1359071,3495,3110
OXDA_RHOTO_Vanella_2023_activity,96.41804083094556,0.7320582270622253,520184,14614,6837
OXDA_RHOTO_Vanella_2023_expression,96.41804083094556,0.7320582270622253,520184,14614,6837
P53_HUMAN_Giacomelli_2018_Null_Etoposide,73.51910353953026,0.91635662317276,5069,2167,2755
P53_HUMAN_Giacomelli_2018_Null_Nutlin,73.48354227881163,0.91635662317276,5069,2167,2531
P53_HUMAN_Giacomelli_2018_WT_Nutlin,73.48354227881163,0.91635662317276,5069,2167,2531
P53_HUMAN_Kotler_2018,74.31319416832339,0.8461527228355408,5069,2150,2969
P84126_THETH_Chan_2017,97.48186359026369,0.5253905653953552,53441,14989,6950
PABP_YEAST_Melamed_2013,82.10457248239634,0.5764520168304443,7866,20796,3844
PAI1_HUMAN_Huttinger_2021,89.3582915681639,0.7908679246902466,52528,10655,3632
PA_I34A1_Wu_2015,92.32081808767693,0.736168384552002,26750,240,1347
PHOT_CHLRE_Chen_2023,94.43729490022172,0.6498655676841736,1627150,14830,5465
PIN1_HUMAN_Tsuboyama_2023_1I6C,89.06763071895425,1.1493650674819946,248269,14832,3682
PITX2_HUMAN_Tsuboyama_2023_2L7M,96.3352,0.9184313416481018,344174,14122,3447
PKN1_HUMAN_Tsuboyama_2023_1URF,92.26715315315316,0.8945552110671997,187829,2733,3655
POLG_CXB3N_Mattenberger_2021,74.16801974991235,0.8063188195228577,7909,3121,3697
POLG_DEN26_Suphatrakul_2023,94.67581777808618,1.1912825107574463,10676,1019,6261
POLG_HCVJF_Qi_2014,60.15090322859864,1.003603458404541,16556,6874,1874
POLG_PESV_Tsuboyama_2023_2MXD,92.31955947136564,1.06516695022583,20190,210,26
PPARG_HUMAN_Majithia_2016,75.38107319485658,0.7585335373878479,39993,11448,1439
PPM1D_HUMAN_Miller_2022,66.75215753424658,0.6631482243537903,1844,4730,1303
PR40A_HUMAN_Tsuboyama_2023_1UZC,84.46243761996162,1.0023589134216309,63560,6024,1146
PRKN_HUMAN_Clausen_2023,78.2259339439356,0.7220706939697266,1457,11662,3679
PSAE_SYNP2_Tsuboyama_2023_1PSE,94.55253308128545,0.8871984481811523,1785,2412,3894
PTEN_HUMAN_Matreyek_2021,83.54937989163155,0.7216257452964783,19058,8284,4463
PTEN_HUMAN_Mighell_2018,84.03971975497701,0.7216257452964783,19058,8284,3904
Q2N0S5_9HIV1_Haddox_2018,74.41969311705392,0.769715428352356,75014,10439,671
Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,88.04344313453537,0.6747768521308899,41636,11856,4250
Q53Z42_HUMAN_McShan_2019_expression,88.04344313453537,0.6747768521308899,41636,11856,4250
Q59976_STRSQ_Romero_2015,93.78791545189506,0.4826001822948456,105913,21349,5480
Q6WV13_9MAXI_Somermeyer_2022,94.80429310344827,1.2542511224746704,506,245,3275
Q837P4_ENTFA_Meier_2023,92.97814592274678,0.6778702139854431,343933,20471,6410
Q837P5_ENTFA_Meier_2023,93.34484353741496,0.6904542446136475,346355,17137,6339
Q8WTC7_9CNID_Somermeyer_2022,96.59386315789476,1.4922223091125488,655,664,3057
R1AB_SARS2_Flynn_2022,96.55835656949724,0.7369703054428101,182169,606,3933
RAD_ANTMA_Tsuboyama_2023_2CJJ,96.27549832026877,0.8520538210868835,423275,9791,2410
RAF1_HUMAN_Zinkus-Boltz_2019,67.46066484694872,0.6263038516044617,9685,12508,4015
RASH_HUMAN_Bandaru_2017,91.3238280725319,0.6061678528785706,204751,16782,6804
RASK_HUMAN_Weng_2022_abundance,91.27404936624416,0.5807530879974365,260539,17651,7013
RASK_HUMAN_Weng_2022_binding-DARPin_K55,91.27404936624416,0.5807530879974365,260539,17651,7013
RBP1_HUMAN_Tsuboyama_2023_2KWH,90.45617312072896,1.0739331245422363,135922,995,2330
RCD1_ARATH_Tsuboyama_2023_5OAO,91.66606124604012,0.9505911469459534,6525,1460,1339
RCRO_LAMBD_Tsuboyama_2023_1ORC,97.01471544715446,0.8659976720809937,392895,827,4090
RD23A_HUMAN_Tsuboyama_2023_1IFY,92.4034,1.067768931388855,100991,10202,2323
RDRP_I33A0_Li_2023,91.9221113402062,1.0184786319732666,26589,153,4383
REV_HV1H2_Fernandes_2016,76.02022875816992,0.7340231537818909,15839,2152,1329
RFAH_ECOLI_Tsuboyama_2023_2LCL,95.13239080459768,1.1462160348892212,86049,6507,5249
RL20_AQUAE_Tsuboyama_2023_1GYZ,91.73620292887028,0.8481966853141785,397758,6954,2095
RL40A_YEAST_Mavor_2016,93.67725663716811,0.8601522445678711,16228,22774,5982
RL40A_YEAST_Roscoe_2013,93.47545411317166,0.8601522445678711,16228,22774,6127
RL40A_YEAST_Roscoe_2014,93.47545411317166,0.8601522445678711,16228,22774,6126
RNC_ECOLI_Weeks_2023,94.78466073414906,0.6684977412223816,66507,15909,3594
RPC1_BP434_Tsuboyama_2023_1R69,97.75526639344262,1.0654120445251465,820224,11988,4612
RPC1_LAMBD_Li_2019_high-expression,85.10399673735726,0.7001575827598572,100755,5954,5078
RPC1_LAMBD_Li_2019_low-expression,85.1716402405686,0.7001575827598572,100755,5954,5102
RS15_GEOSE_Tsuboyama_2023_1A32,97.38854166666668,0.7982529401779175,44428,10595,2843
S22A1_HUMAN_Yee_2023_abundance,84.40179762182326,0.6127226948738098,198790,10254,5994
S22A1_HUMAN_Yee_2023_activity,84.46904101675331,0.6127226948738098,198790,10254,6009
SAV1_MOUSE_Tsuboyama_2023_2YSB,87.63914764079148,1.1169687509536743,177542,13935,3844
SBI_STAAM_Tsuboyama_2023_2JVG,94.04233995584988,0.9710382223129272,14476,152,924
SC6A4_HUMAN_Young_2021,83.10369525731583,0.6843947172164917,40971,18890,3285
SCIN_STAAR_Tsuboyama_2023_2QFF,97.04857394366196,1.1255887746810913,38043,92,2929
SCN5A_HUMAN_Glazer_2019,70.28837241379311,0.717837393283844,49973,19855,1517
SDA_BACSU_Tsuboyama_2023_1PV0,94.91785326086958,1.198085069656372,1953,1259,968
SERC_HUMAN_Xie_2023,97.87571780436312,0.6523527503013611,232438,11984,4898
SHOC2_HUMAN_Kwon_2022,88.5826926388291,0.5826194286346436,22163,12277,2929
SOX30_HUMAN_Tsuboyama_2023_7JJK,86.39022556390977,0.8217989802360535,158104,10412,2417
SPA_STAAU_Tsuboyama_2023_1LP1,94.06482598607889,1.050667643547058,184804,414,707
SPG1_STRSG_Olson_2014,66.7363223880597,0.40047648549079895,44,698,203
SPG1_STRSG_Wu_2016,66.7363223880597,0.40047648549079895,44,698,203
SPG2_STRSG_Tsuboyama_2023_5UBS,94.90909502262444,0.857753574848175,39899,181,4327
SPIKE_SARS2_Starr_2020_binding,82.2528002846541,0.8783649206161499,36931,848,1331
SPIKE_SARS2_Starr_2020_expression,82.2528002846541,0.8783649206161499,36931,848,1294
SPTN1_CHICK_Tsuboyama_2023_1TUD,96.04719959266804,1.0053777694702148,420793,10074,3947
SQSTM_MOUSE_Tsuboyama_2023_2RRU,91.50121794871794,1.105712652206421,34660,2081,467
SR43C_ARATH_Tsuboyama_2023_2N88,94.16613756613758,1.0524356365203857,101118,9872,4377
SRBS1_HUMAN_Tsuboyama_2023_2O2W,95.94725598526703,0.9620220065116882,708655,11571,5430
SRC_HUMAN_Ahler_2019,84.62337324871274,0.7453393936157227,37675,20099,4140
SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,84.592483534906,0.7453393936157227,37675,20099,4163
SRC_HUMAN_Nguyen_2022,84.592483534906,0.7453393936157227,37675,20099,4135
SUMO1_HUMAN_Weile_2017,78.12819201995012,0.938822865486145,85570,9249,6433
SYUA_HUMAN_Newberry_2020,76.89749255213505,0.9805131554603577,15711,1051,281
TADBP_HUMAN_Bolognesi_2019,66.16856413529037,0.864189863204956,1211,16521,2836
TAT_HV1BR_Fernandes_2016,76.17743964886613,1.4352240562438965,12155,2750,14
TCRG1_MOUSE_Tsuboyama_2023_1E0L,82.68696817420435,1.1528263092041016,43363,15126,5080
THO1_YEAST_Tsuboyama_2023_2WQG,85.26217791411042,1.3111580610275269,54877,11653,2724
TNKS2_HUMAN_Tsuboyama_2023_5JRT,96.53434262948208,0.8714321851730347,270654,8410,2924
TPK1_HUMAN_Weile_2017,97.94480492275466,0.6421247720718384,21515,4443,4953
TPMT_HUMAN_Matreyek_2018,94.87322076612904,0.6518123149871826,19526,5852,7365
TPOR_HUMAN_Bridgford_2020,73.32830809087285,0.6794195175170898,937,967,1848
TRPC_SACS2_Chan_2017,97.13818905472635,0.614199697971344,52935,9415,6911
TRPC_THEMA_Chan_2017,96.0500744047619,0.5589084625244141,52988,9271,6912
UBC9_HUMAN_Weile_2017,96.7599296325254,0.803675651550293,69788,12462,3904
UBE4B_HUMAN_Tsuboyama_2023_3L1X,96.5330294906166,0.9253501296043396,310943,10118,5646
UBE4B_MOUSE_Starita_2013,79.96360183996576,0.6562818288803101,4743,9213,1117
UBR5_HUMAN_Tsuboyama_2023_1I2T,96.40344420600856,0.9345721006393433,17888,5095,1031
VG08_BPP22_Tsuboyama_2023_2GP8,85.31197138314785,1.1525169610977173,102464,113,1865
VILI_CHICK_Tsuboyama_2023_1YU5,96.88833333333334,0.9116135835647583,254210,5102,1412
VKOR1_HUMAN_Chiasson_2020_abundance,86.08840873634945,0.698901891708374,14510,2671,2407
VKOR1_HUMAN_Chiasson_2020_activity,86.18344894026974,0.698901891708374,14510,2671,2437
VRPI_BPT7_Tsuboyama_2023_2WNM,84.78872767857145,1.119652271270752,6266,104,4358
YAIA_ECOLI_Tsuboyama_2023_2KVT,94.40030805687202,1.0958539247512817,5877,228,3335
YAP1_HUMAN_Araya_2012,56.72351733333333,0.5452519655227661,1604,11546,90
YNZC_BACSU_Tsuboyama_2023_2JVD,94.70152886115446,1.1556429862976074,7116,4345,2455
